"","Gene","Annotation"
"1","PKP3","E"
"2","SH3YL1","E"
"3","GPX2","E"
"4","FAM174B","E"
"5","GALNT7","E"
"6","SDC1","E"
"7","SPDEF","E"
"8","ERMP1","E"
"9","MGST2","E"
"10","CD46","E"
"11","TNFSF13","E"
"12","SPINT2","E"
"13","CLDN3","E"
"14","FUT2","E"
"15","EXPH5","E"
"16","KRT18","E"
"17","C1orf116","E"
"18","TOB1","E"
"19","MST1R","E"
"20","STYK1","E"
"21","SFN","E"
"22","PERP","E"
"23","MYH14","E"
"24","LRRC1","E"
"25","TGFA","E"
"26","HES1","E"
"27","DSP","E"
"28","ANXA4","E"
"29","CBLC","E"
"30","HPGD","E"
"31","SLC16A5","E"
"32","PRR15L","E"
"33","PLLP","E"
"34","AKR1B10","E"
"35","EPB41L4B","E"
"36","ADIRF","E"
"37","COMT","E"
"38","EPS8L1","E"
"39","ALOX5","E"
"40","RAB20","E"
"41","CD9","E"
"42","ATP2C2","E"
"43","MAP7","E"
"44","HDHD3","E"
"45","RAB25","E"
"46","VAV3","E"
"47","TRIM31","E"
"48","MLPH","E"
"49","CEACAM7","E"
"50","AZGP1","E"
"51","PYCARD","E"
"52","SCEL","E"
"53","EPS8L2","E"
"54","TSPAN1","E"
"55","MYO1D","E"
"56","MYO5C","E"
"57","CORO2A","E"
"58","ESRP1","E"
"59","SSH3","E"
"60","TTC39A","E"
"61","LCN2","E"
"62","EHF","E"
"63","OAS1","E"
"64","CLDN4","E"
"65","SH2D3A","E"
"66","STAP2","E"
"67","GRHL1","E"
"68","BSPRY","E"
"69","TMPRSS2","E"
"70","FOXA1","E"
"71","AQP3","E"
"72","TSPAN15","E"
"73","SDC4","E"
"74","TFF3","E"
"75","SYNGR2","E"
"76","ADAP1","E"
"77","EVPL","E"
"78","GRHL3","E"
"79","CEACAM6","E"
"80","TACSTD2","E"
